term,canonical_media,canonical_term,term_id,parent_id,preferred_label,rank,definition,envo_id,physical_phase,physical_state,is_water_based,concert_unit_route,media_category,source,assertion_mode,confidence_tier,confidence,active
strawberries,strawberry,strawberry,FOODON:00003443,FOODON:00002282,strawberry,alias,An aggregate fruit of strawberry plant  (Fragaria x ananassa).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
sugar,sugar,sugar,FOODON:03420157,FOODON:00001083,white sugar,canonical,"White sugar is highly refined crystalline sugar, mostly sucrose, that appears white in color.  White sugar is commonly used in North America and Europe, made either of beet sugar or cane sugar, that has undergone a refining process which removes molasses.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
surface water,surface water,surface water,ENVO:00002042,ENVO:00002006,surface water,canonical,Water that is found on the surface of an astronomical object.,ENVO:00002042,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
surfacewater,surface water,surface water,ENVO:00002042,ENVO:00002006,surface water,alias,Water that is found on the surface of an astronomical object.,ENVO:00002042,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
suspended solids,suspended solids,suspended solids,AMH:0000021,ENVO:00010483,suspended solids,canonical,Solid particles retained as the analyzed fraction of a suspension.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tallow,tallow,tallow,FOODON:03315521,FOODON:03310719,tallow (edible),canonical,"Tallow is a rendered form of beef or mutton fat, and is primarily made up of triglycerides. It is solid at room temperature.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tap water,tap water,tap water,ENVO:00003064,ENVO:00002011,drinking water,canonical,Drinking water is water which may be consumed by humans with no adverse effects on their health.,ENVO:00003064,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
tapioca flour,tapioca flour,tapioca flour,FOODON:03310681,FOODON:00001692,tapioca flour,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tea,tea,tea,FOODON:03315081,FOODON:00001138,tea food product,canonical,"An aromatic beverage commonly prepared by pouring hot or boiling water over cured leaves of the Camellia sinensis, an evergreen shrub (bush) native to East Asia.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tea leaves,tea leaf,tea leaf,FOODON:03307867,FOODON:03315081,tea leaf,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tequila,tequila,tequila,FOODON:03304704,FOODON:00001103,tequila,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
textile,textile,textile,AMH:0000044,ENVO:00010483,textile,canonical,A textile or fabric product analyzed for its chemical content.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
textiles,textile,textile,AMH:0000044,ENVO:00010483,textile,alias,A textile or fabric product analyzed for its chemical content.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
thyme,thyme,thyme,FOODON:00002312,FOODON:00003042,thyme food product,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tissue,tissue,tissue,AMH:0000031,AMH:0000050,tissue,canonical,Animal or plant tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tissues,tissue,tissue,AMH:0000031,AMH:0000050,tissue,alias,Animal or plant tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
toast,toast,toast,FOODON:03306255,FOODON:00002351,toast,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tofu,tofu,tofu,FOODON:00004697,FOODON:03309664,tofu,canonical,"A food product that is prepared by coagulating soy milk and then pressing the resulting curds into solid white blocks of varying softness: silken, soft, firm, extra firm.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
tomatoes,tomato,tomato,FOODON:03301453,FOODON:00001164,tomato,alias,A berry fruit of a tomato plant (Solanum lycopersicum).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
transformer oil,oil,oil,AMH:0000030,AMH:0000006,oil,alias,An oil reported without enough evidence for a more specific material term.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
tumeric,turmeric,turmeric,FOODON:00003753,FOODON:00002323,turmeric root,alias,A root of a turmeric plant (Curcuma longa),__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
turkey liver,turkey liver,turkey liver,FOODON:00002730,FOODON:00001286,turkey liver,canonical,A whole animal liver that is obtained from a turkey.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
turmeric,turmeric,turmeric,FOODON:00003753,FOODON:00002323,turmeric root,canonical,A root of a turmeric plant (Curcuma longa),__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
urine,urine,urine,AMH:0000034,AMH:0000028,urine,canonical,Urine used as an analytical matrix.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
vapor,vapor,vapor,AMH:0000024,ENVO:00010483,vapor,canonical,A gas-phase analytical matrix reported as vapor.,__ENVHARMONIZER_MISSING__,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
vapour,vapor,vapor,AMH:0000024,ENVO:00010483,vapor,alias,A gas-phase analytical matrix reported as vapor.,__ENVHARMONIZER_MISSING__,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
vegetable,vegetables,vegetables,FOODON:00003816,FOODON:03315308,vegetable,alias,An anatomical part of a plant that is consumed by humans or other animals as food.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
vegetable oil,vegetable oil,vegetable oil,FOODON:03305263,FOODON:00001087,vegetable oil,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
vegetables,vegetables,vegetables,FOODON:00003816,FOODON:03315308,vegetable,canonical,An anatomical part of a plant that is consumed by humans or other animals as food.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
vehicle,vehicle,vehicle,AMH:0000027,AMH:0000006,vehicle,canonical,A formulation vehicle reported as the analytical matrix.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
waste water,wastewater,wastewater,ENVO:00002001,ENVO:00002186,waste water,alias,Water that has been adversely affected in quality by anthropogenic influence.,ENVO:00002001,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
wastewater,wastewater,wastewater,ENVO:00002001,ENVO:00002186,waste water,canonical,Water that has been adversely affected in quality by anthropogenic influence.,ENVO:00002001,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
water,water,water,ENVO:00002006,ENVO:01000815,liquid water,canonical,An environmental material primarily composed of dihydrogen oxide in its liquid form.,ENVO:00002006,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
wheat,wheat,wheat,FOODON:03315184,FOODON:03307448,whole wheat kernel,canonical,A caryopsis fruit of a whole wheat wheat plant.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
wheat flour,wheat flour,wheat flour,FOODON:03302340,FOODON:00001210,whole wheat flour,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
whiskey,whiskey,whiskey,FOODON:03302775,FOODON:00001918,whiskey,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
white corn flour,white corn flour,white corn flour,FOODON:03310833,FOODON:03302500,white corn flour,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
white rice,white rice,white rice,FOODON:00003787,FOODON:03420102,white rice,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
white wine,white wine,white wine,FOODON:03310273,FOODON:03301014,white wine,canonical,A wine that is fermented with little or no grape skin contact.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
whole blood,blood,blood,ENVO:02000020,ENVO:02000019,blood material,alias,"A bodily fluid material which is composed primarily of blood, a bodily fluid composed of blood plasma and blood cells suspended within the plasma that circulates around the organism's body. Blood performs may important functions including the supplying of oxygen and nutrients, removal of waste, circulation of white blood cells, detection of antibodes, coagulation, transportation of antibodies and the regulation of pH and body temperature.",ENVO:02000020,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
wine,wine,wine,FOODON:03301014,FOODON:00001095,grape wine,canonical,An alcoholic drink made from fermented grapes.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
workplace air,indoor air,indoor air,AMH:0000033,ENVO:00002005,indoor air,alias,Air within an enclosed building or structure used as an analytical matrix.,ENVO:00002005,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
yogurt,yogurt,yogurt,FOODON:03301502,FOODON:00001014,yogurt (plain),canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
